,Unnamed: 0,type,category,star,review_
20,21,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송 만족합니다 하자가 전혀 없었어요 노트북 필요해서 여러 노트북이랑 비교 중 이번 맥북에어가 가성비 좋게 잘 나왔다고 해서 구매했는데 정말 만족하면서 쓰고 있습니다
21,22,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,맥북 너무 영롱해요 윈도우만 써봤는데 열심히 적응해보도록 하겠숩니다
22,23,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,너무 좋아욤 갖고싶은거였는데 좋은가격에 좋은제품샀네요
23,24,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,빠르고 좋네요  왜 맥북 맥북 하는지 알겠네요
24,25,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,디제잉과 영상작업하는데 필요해서 구입했습니다  먼저 써본 지인의 추천으로 구매했지만 정말 좋네요  이제품 사려고 여기저기 보면서 느꼈던게 그래서 사라는거야 말라는거야 이러는데 사라는겁니다
25,26,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,나만 그런건지_ 배송 느림  12일주문 18일수령 
26,27,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송 빠르고 포장도 깔끔하고 잘 왔습니다    
27,28,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,빠르게 배송해주셔서 너무 감사했습니다 
28,29,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,공홈보다 조금 저렴하게 샀네요  배송도 빨랐고요  파컷 로직 다 설치하고 좀 써봤는데 좋네요  프로 16인치와 비교해보니 들고 다니기 좋은 것 같습니다 
29,30,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,일단 디자인이 너무 이쁘고  무게가 가벼워서 휴대하기 좋아요 전문 포토샵쟁이라 사실 프로랑 비교하다가 구매했는데 에어도 손색없이 잘돌아가요 한번도 마우스가 멈춘적이 없습니당 애플 만만세
30,31,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,지금 만지작 거리는 중 마감 굿굿
31,32,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,아주 가볍고 발열적고 좋네요
32,33,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,딱히 결함은 없는 것 같네요 감사합니다
33,34,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,선물로 구매했는데 너무 맘에 든다네요
34,35,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,애플 노트북 최고 굿
35,36,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,너무 좋아요  굿굿굿
36,37,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,역시 가성비 쩌네용 아무 문제없이 잘 쓰고있습니당
37,38,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,역시나 최고의 노트북입니다 
38,39,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,엄청 빨리왔어요 좋아요
39,40,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,맥북 좋아좋아요   
40,41,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,진짜 이걸 왜 이제샀나  왜 살까 말까 고민을햇나 싶어요 너무좋아
41,42,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,우체국 국제특송이라 이틀만에 왔어요 
42,43,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,좋아요  다만 배송이 원래 애플 갈색 박스채로 와서   박스에 뽁뽁이랑 한번더 포장해주셨음 좋겠습니다 
43,44,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,넘 만족해요   올해 최고의 소비입니당
44,45,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,저렴하고 빠르게 받았습니다
45,46,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,완전 저렴하게 잘 샀고 배송 엄청 빠르네요  구매 하고 다음날 받았습니다 
46,47,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,이쁘고 빠르고 손에 잡는 그립감이 좋아요 11인치 쓰다가 서피스 쓰고 다시 돌아왔는데 역시   좋네요
47,48,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,역시 최고의 가성비 가성비를 뛰어넘었니요
